1638528672,173
1638528702,0
1638528732,40
1638528762,12
1638528792,0
1638528822,0
1638528852,0
1638528882,0
1638528912,0
1638528942,0
1638528972,0
1638529002,0
1638529032,0
1638529062,0
1638529092,0
1638529122,2
1638529152,0
1638529182,0
1638529212,0
1638529242,0
1638529272,0
1638529302,0
1638529332,0
1638529362,0
1638529392,0
1638529422,0
1638529452,0
1638529482,0
1638529512,0
1638529542,1
1638529572,0
1638529602,0
1638529632,2
1638529662,0
1638529692,0
1638529722,0
1638529752,5
1638529782,0
1638529812,1
1638529842,0
1638529872,0
1638529902,0
1638529932,0
1638529962,0
1638529992,0
1638530022,0
1638530052,0
1638530082,0
1638530112,1
1638530142,0
1638530172,0
1638530202,0
1638530232,1
1638530262,0
1638530292,0
1638530322,0
1638530352,0
1638530382,0
1638530412,0
1638530442,0
1638530472,1
1638530502,0
1638530532,0
1638530562,0
1638530592,0
1638530622,0
1638530652,0
1638530682,0
1638530712,1
1638530742,1
1638530772,0
1638530802,0
1638530832,0
1638530862,0
1638530892,0
1638530922,0
1638530952,0
1638530982,0
1638531012,0
1638531042,0
1638531072,0
1638531102,0
1638531132,0
1638531162,0
1638531192,0
1638531222,0
1638531252,0
1638531282,0
