wl,A,E,D65
623,145.79,1,86.3757
624,146.513,1,85.9347
625,147.235,1,85.4936
626,147.957,1,85.0526
627,148.678,1,84.6116
628,149.398,1,84.1706
629,150.117,1,83.7296
630,150.836,1,83.2886
631,151.554,1,83.3297
632,152.271,1,83.3707
633,152.988,1,83.4118
634,153.704,1,83.4528
635,154.418,1,83.4939
636,155.132,1,83.535
637,155.845,1,83.576
638,156.558,1,83.6171
639,157.269,1,83.6581
640,157.979,1,83.6992
641,158.689,1,83.332
642,159.397,1,82.9647
643,160.104,1,82.5975
644,160.811,1,82.2302
645,161.516,1,81.863
646,162.221,1,81.4958
647,162.924,1,81.1285
648,163.626,1,80.7613
649,164.327,1,80.394
650,165.028,1,80.0268
651,165.726,1,80.0456
652,166.424,1,80.0644
653,167.121,1,80.0831
654,167.816,1,80.1019
655,168.51,1,80.1207
656,169.203,1,80.1395
657,169.895,1,80.1583
658,170.586,1,80.177
659,171.275,1,80.1958
660,171.963,1,80.2146
661,172.65,1,80.4209
662,173.335,1,80.6272
663,174.019,1,80.8336
664,174.702,1,81.0399
665,175.383,1,81.2462
666,176.063,1,81.4525
667,176.741,1,81.6588
668,177.419,1,81.8652
669,178.094,1,82.0715
670,178.769,1,82.2778
671,179.441,1,81.8784
672,180.113,1,81.4791
673,180.783,1,81.0797
674,181.451,1,80.6804
675,182.118,1,80.281
676,182.783,1,79.8816
677,183.447,1,79.4823
678,184.109,1,79.0829
679,184.77,1,78.6836
680,185.429,1,78.2842
681,186.087,1,77.4279
682,186.743,1,76.5716
683,187.397,1,75.7153
684,188.05,1,74.859
685,188.701,1,74.0027
686,189.35,1,73.1465
687,189.998,1,72.2902
688,190.644,1,71.4339
689,191.288,1,70.5776
690,191.931,1,69.7213
691,192.572,1,69.9101
692,193.211,1,70.0989
693,193.849,1,70.2876
694,194.484,1,70.4764
695,195.118,1,70.6652
696,195.75,1,70.854
697,196.381,1,71.0428
698,197.009,1,71.2315
699,197.636,1,71.4203
700,198.261,1,71.6091
701,198.884,1,71.8831
702,199.506,1,72.1571
703,200.125,1,72.4311
704,200.743,1,72.7051
705,201.359,1,72.979
706,201.972,1,73.253
707,202.584,1,73.527
708,203.195,1,73.801
709,203.803,1,74.075
710,204.409,1,74.349
711,205.013,1,73.0745
712,205.616,1,71.8
713,206.216,1,70.5255
714,206.815,1,69.251
715,207.411,1,67.9765
716,208.006,1,66.702
717,208.599,1,65.4275
718,209.189,1,64.153
719,209.778,1,62.8785
720,210.365,1,61.604
721,210.949,1,62.4322
722,211.532,1,63.2603
723,212.112,1,64.0885
724,212.691,1,64.9166
725,213.268,1,65.7448
726,213.842,1,66.573
727,214.415,1,67.4011
728,214.985,1,68.2293
729,215.553,1,69.0574
730,216.12,1,69.8856
731,216.684,1,70.4057
732,217.246,1,70.9259
733,217.806,1,71.446
734,218.364,1,71.9662
735,218.92,1,72.4863
736,219.473,1,73.0064
737,220.025,1,73.5266
738,220.574,1,74.0467
739,221.122,1,74.5669
740,221.667,1,75.087
741,222.21,1,73.9376
742,222.751,1,72.7881
743,223.29,1,71.6387
744,223.826,1,70.4893
745,224.361,1,69.3398
746,224.893,1,68.1904
747,225.423,1,67.041
748,225.951,1,65.8916
749,226.477,1,64.7421
750,227,1,63.5927
751,227.522,1,61.8752
752,228.041,1,60.1578
753,228.558,1,58.4403
754,229.073,1,56.7229
755,229.585,1,55.0054
756,230.096,1,53.288
757,230.604,1,51.5705
758,231.11,1,49.8531
759,231.614,1,48.1356
760,232.115,1,46.4182
