wl,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
412,0.9696146831840572,0.03385822408582698,1.393315542868731e-6,1.969160899718795e-14,6.437209329587126e-24,1.7811683330009966e-33,3.0444245892849184e-50,5.0413291651804355e-70,2.507510037943153e-101,6.527194048978244e-128,1.2717194750051442e-164,4.3030412422072574e-216,1.813761057029821e-226,3.5787202814493286e-278
413,0.9378272247760858,0.04576259895006396,2.486029217975788e-6,4.1577813004619494e-14,1.4216078581897234e-23,3.969502922172639e-33,6.836625051535547e-50,1.1338310403527874e-69,5.6416920310267327e-101,1.4685975140596127e-127,2.8613585469232875e-164,9.681841092449895e-216,4.080960925271154e-226,8.052120246561994e-278
414,0.9004825109120763,0.05990531587620064,3.948058595388563e-6,7.191255800803402e-14,2.5076184556138228e-23,7.028969607562855e-33,1.2144219562524115e-49,2.0153559034583543e-69,1.0029523227406873e-100,2.6108244924809334e-127,5.086852107567619e-164,1.7212160688218354e-215,7.255040580192323e-226,1.4314880154729772e-277
415,0.86171,0.07593,5.7697e-6,1.1065e-13,3.9013e-23,1.0958999999999999e-32,1.8967e-49,3.1487e-69,1.5671e-100,4.0794e-127,7.948199999999999e-164,2.6894e-215,1.1335999999999997e-225,2.2366999999999996e-277
416,0.8149582793429957,0.09646124828968627,1.0047262059655611e-5,3.949065713280342e-13,3.729181273862891e-22,1.9813827937530535e-31,1.5873262392321552e-47,1.22389393754236e-66,6.732440904317487e-97,4.5293304553872845e-123,3.579423269731993e-159,2.4034035014606707e-209,5.167214724466465e-220,7.517202906430984e-271
417,0.75493474598913,0.12353389354759677,1.8783782747156733e-5,1.1595215030035852e-12,1.3428554688453849e-21,7.507403307864319e-31,6.276869672864501e-47,4.883547363173503e-66,2.6923773633150262e-96,1.8115763358602812e-122,1.4317389514615907e-158,9.613603727094113e-209,2.066881560668024e-219,3.0068803082808977e-270
418,0.6876570729637667,0.15590691466066411,3.182965240483005e-5,2.401033149015119e-12,2.9475789466113362e-21,1.6684568425099057e-30,1.4087036786880766e-46,1.0982013300033466e-65,6.057551274982429e-96,4.075969421012469e-122,3.221397591743383e-158,2.163060327775722e-208,4.6504813661060786e-219,6.765480270065149e-270
419,0.6191429332922688,0.19233929051582097,4.903526137500225e-5,4.115979863351101e-12,5.185842482918192e-21,2.950979502822253e-30,2.5017267067264684e-46,1.9519196071262283e-65,1.0768760571766556e-95,7.246111057043105e-122,5.726918017896782e-158,3.8454402064906885e-208,8.267520856602755e-219,1.20275201694776e-269
420,0.55541,0.23159,7.0251e-5,6.3009e-12,8.0564e-21,4.5979999999999996e-30,3.906699999999999e-46,3.0494999999999997e-65,1.6826e-95,1.1322000000000002e-121,8.948299999999998e-158,6.008499999999999e-208,1.2918e-218,1.8793e-269
421,0.49438794946821063,0.27723855604410746,1.1271617548807124e-4,1.880874598586558e-11,6.022186408915098e-20,6.555147416272333e-29,2.5110811319577207e-44,9.012449132134625e-63,5.3581913256394585e-92,9.540672233457078e-118,3.096716263897965e-153,3.9983278227393215e-202,4.545216779345533e-213,4.845202442027894e-263
422,0.43204157531767173,0.3316214250191213,1.9263816618439038e-4,5.136549839863494e-11,2.101749892895962e-19,2.4466750251412687e-28,9.895135558968074e-44,3.5933303497265626e-62,2.1426333842589242e-91,3.8158363560909416e-117,1.2386523294621697e-152,1.5993288326798264e-201,1.8180817784677846e-212,1.938080259024771e-262
423,0.37144122643302757,0.39163301597208144,3.0831946913667394e-4,1.0377723781847149e-10,4.576597424454659e-19,5.4181699378416885e-28,2.2190076219999567e-43,8.079213129632933e-62,4.820605373671929e-91,8.585417165163322e-117,2.7869507986596453e-152,3.598488732288755e-201,4.0906815567537397e-212,4.360680226917358e-262
424,0.31565725169892234,0.45416773795002774,4.5806258139263837e-4,1.7585004482553873e-10,8.024200904008907e-19,9.568708567028072e-28,3.939474905402071e-43,1.4358800573026203e-61,8.569729459389956e-91,1.5262806197490465e-116,4.954566775124747e-152,6.3973124613217864e-201,7.27232097614646e-212,7.752320142401964e-262
425,0.26776,0.51612,6.4017e-4,2.6739e-10,1.2442e-18,1.4897000000000001e-27,6.1508e-43,2.2432e-61,1.339e-90,2.3847999999999998e-116,7.7415e-152,9.995799999999999e-201,1.1363e-211,1.2112999999999998e-261
426,0.2256755327905211,0.5818065986661075,9.567967958051439e-4,6.812944403638149e-10,7.361625972329834e-18,1.6839671830144428e-26,3.0407921640991643e-41,5.041965122106727e-59,3.160703835106697e-87,1.5251501022240132e-112,2.0587405841544512e-147,4.9532130140077765e-195,3.0861347596211613e-206,2.3955215739976853e-255
427,0.1861749270353024,0.6534019938763238,0.0015018191024566726,1.7152210537495894e-9,2.4707264701746706e-17,6.167841898675753e-26,1.1928299585919555e-40,2.0082170116889626e-58,1.2637697244293582e-86,6.0996893383316015e-112,8.234666666762199e-147,1.9812813852608007e-194,1.2344495644104909e-205,9.58208166951708e-255
428,0.15059605488482314,0.7245870897534865,0.00226112101120563,3.361116446953456e-9,5.3241770444998654e-17,1.3596421022829838e-25,2.672221412569037e-40,4.5142365350619165e-58,2.8432274335927117e-86,1.3723848915327187e-111,1.8527853423292715e-146,4.457881218252435e-194,2.777509369397807e-205,2.1559681462557632e-254
429,0.12027678848956261,0.7890427904204328,0.0032205866133030578,5.610927226771549e-9,9.292579745883374e-17,2.396553143132261e-25,4.742071964364079e-40,8.02218691895658e-58,5.054439021837377e-86,2.439762156021518e-111,3.2938298614215486e-146,7.925120767468046e-194,4.93779285867675e-205,3.832832091781879e-254
430,0.096555,0.84045,0.0043661,8.4566e-9,1.4372e-16,3.7271000000000003e-25,7.4022e-40,1.2532e-57,7.897399999999999e-86,3.8121e-111,5.1465999999999994e-146,1.2382999999999998e-193,7.7153e-205,5.9888e-254
431,0.07746396236393804,0.8844202231958337,0.006126985358597025,1.8768835629747626e-8,6.826029506093412e-16,3.363075450174205e-24,2.819798709054753e-38,2.1432131189587326e-55,1.3819085111497515e-82,1.8502956967284658e-107,1.0517468691194207e-141,4.569216122095697e-188,1.617330021501608e-199,9.085607782028899e-248
432,0.06043391767567873,0.9274107510953129,0.008884953704494616,4.325873972260407e-8,2.1835766417595255e-15,1.2031790871233997e-23,1.099656877228949e-37,8.524981210826005e-55,5.524615403748047e-82,7.399726443638442e-107,4.206790913123778e-141,1.8276817161128216e-187,6.469290621950076e-199,3.634240825431083e-247
433,0.0458981918054504,0.9643711673968753,0.012554469371093693,8.16788660005867e-8,4.64213685760504e-15,2.636845256720669e-23,2.4602148280996852e-37,1.9157455543213913e-54,1.2428883936771466e-81,1.6648661826184183e-106,9.465182108968427e-141,4.1122815092312885e-187,1.4555889297767739e-198,8.177040723109831e-247
434,0.03429011062348136,0.9902510557989584,0.017049996691795175,1.337817681857129e-7,8.05377938230037e-15,4.636265684211959e-23,4.363435332646948e-37,3.4040255383734545e-54,2.2094687629196593e-81,2.959709021981995e-106,1.6826918967608715e-140,7.310720950786504e-187,2.5877125830076928e-198,1.4536960453784387e-246
435,0.026043,1,0.022286,1.9932e-7,1.2414e-14,7.2004e-23,6.8091e-37,5.3173e-54,3.4522e-81,4.6244999999999995e-106,2.6292e-140,1.1423e-186,4.043299999999999e-198,2.2713999999999998e-246
436,0.02000580384559214,0.9923371343747348,0.029513234340493872,3.928761870781732e-7,4.812143898867786e-14,5.2290792180178815e-22,2.003520121870621e-35,6.923128588652269e-52,4.478095900488037e-78,1.7036413362623543e-102,4.128741606099887e-136,3.1384148721072286e-181,6.542452519280807e-193,2.643402951528449e-240
437,0.014806467601770165,0.9717870031242043,0.03978858772577347,8.254556637910716e-7,1.4532094705532966e-13,1.817361871764516e-21,7.754132958190274e-35,2.74894037378448e-51,1.789918824651815e-77,6.812798639027879e-102,1.651396226046819e-135,1.255361583036308e-180,2.6169655666690924e-192,1.0573603130657413e-239
438,0.010546819435152116,0.9420073046863064,0.05273572394080613,1.4914450469648833e-6,3.036273356276425e-13,3.953363460826349e-21,1.7317922133574613e-34,6.175038379271119e-51,4.026661352230425e-77,1.5327920253662227e-101,3.715591727978655e-135,2.8245613921765313e-180,5.888164872766063e-192,2.379060274258215e-239
439,0.007328687512356043,0.906655737498939,0.0679783067705592,2.385230953425797e-6,5.226554161333036e-13,6.928910299925454e-21,3.06928802726393e-34,1.0970445409838507e-50,7.158025601206024e-77,2.7248992075531047e-101,6.60545990607366e-135,5.021440877031171e-180,1.0467843055462024e-191,4.2294401721097925e-239
440,0.0052539,0.86939,0.08514,3.5012e-6,8.0202e-13,1.0742e-20,4.7877e-34,1.7134999999999999e-50,1.1184e-76,4.2576e-101,1.0321e-134,7.846e-180,1.6355999999999998e-191,6.6085e-239
441,0.003888557475368523,0.822524303623971,0.10666867515082733,6.237141919831581e-6,2.5838171814944048e-12,6.339118900322054e-20,1.0914118322108313e-32,1.6998758025409103e-48,1.0756565229007454e-73,1.1904336251475136e-97,1.2455740992344277e-130,1.6052502151122975e-174,2.042661244991941e-186,5.899608587284755e-233
442,0.002742435528021595,0.7605124186824237,0.13446266182335348,1.1932110372807248e-5,7.294045417255484e-12,2.126784546086116e-19,4.182900778956838e-32,6.734053118164974e-48,4.298351239628255e-73,4.76010796538725e-97,4.9819022087937016e-130,6.420970873418177e-174,8.170582517860277e-186,2.3598409108434513e-232
443,0.0018328748429904049,0.6902213819288909,0.16732131092046593,2.049238786586713e-5,1.490817306226936e-11,4.583069257123925e-19,9.320934609597427e-32,1.5119146532518584e-47,9.669165054905393e-73,1.0709435797053232e-96,1.1209084552735763e-129,1.444716956256791e-173,1.8383779710632638e-185,5.30964079793419e-232
444,0.0011772161053061432,0.6185182301169054,0.20404397334505225,3.182425690595133e-5,2.5401668471522166e-11,7.999797312107822e-19,1.6504104093492015e-31,2.685463563124812e-47,1.7188060473455022e-72,1.9038404136479473e-96,1.9927118145118548e-129,2.568384602421176e-173,3.268225235933667e-185,9.439360500739951e-232
445,7.928e-4,0.55227,0.24343,4.5834e-5,3.875e-11,1.2374e-18,2.5731e-31,4.1939999999999997e-47,2.6855e-72,2.9747e-96,3.1136e-129,4.0131e-173,5.1066e-185,1.4749e-231
446,5.688219206810999e-4,0.48919982758182123,0.2886735384981166,7.490652071939367e-5,1.057975046784418e-10,6.0019189457171695e-18,4.562448003668295e-30,3.172959076340613e-45,1.915177375209444e-69,6.313068065481731e-93,2.887524545764463e-125,6.113652248303716e-168,4.922866330543284e-180,1.010041916528831e-225
447,3.843505149713238e-4,0.42470039116728897,0.34187922460904074,1.3072407301016793e-4,2.766294271876225e-10,1.9302426785071463e-17,1.726785213851367e-29,1.2531647474783065e-44,7.650444791738478e-69,2.5240907999809473e-92,1.15489090112335e-124,2.4454455614799973e-167,1.969127030532787e-179,4.0401620328385663e-225
448,2.4153634892099777e-4,0.362143040961846,0.40021214147090656,2.1213896494124532e-4,5.500825973575823e-10,4.1104935151567184e-17,3.8365956271524894e-29,2.8116732335055207e-44,1.720839772066279e-68,5.678640378139635e-92,2.5984455747820294e-124,5.502244890954438e-167,4.4305261541240806e-179,9.090361780843887e-225
449,1.4252998858044783e-4,0.30489912717093537,0.4608373722218483,3.180035045815485e-4,9.249938450183613e-10,7.13754556787086e-17,6.784919426969074e-29,4.99269407968849e-44,3.0588946133058064e-68,1.0094946468865549e-91,4.619415574693806e-124,9.781763081159254e-167,7.876483858916914e-179,1.6160641117559472e-224
450,8.9482e-5,0.25634,0.52092,4.4717e-4,1.4002e-9,1.1008e-16,1.0571e-28,7.7961e-44,4.7792e-68,1.5773e-91,7.2178e-124,1.5283999999999998e-166,1.2306999999999997e-178,2.5250999999999998e-224
